Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,QGE613,QGE614,QGE615,QGE637,QGE638,QGE639,QGE661,QGE662,QGE663,QGE742,QGE743,QGE744,QGE760,QGE761,QGE762,QGE685,QGE686,QGE687,QGE621,QGE622,QGE623,QGE645,QGE646,QGE647,QGE669,QGE670,QGE671,QGE748,QGE749,QGE750,QGE766,QGE767,QGE768,QGE693,QGE694,QGE695
282.1063129,0,0,0,0,0,0,0,0,,None,283.1135894,0,1,8306782,8444856,8818841,12091933,11312392,8494403,9224480,7578733.5,11380590,9879991,9613132,8631869,11537354,9818229,10062911,12867147,10839759,12297906,11882944,11597161,6735970.5,11853671,9338379,8735119,10343494,10556332,10040212,10564272,9761310,12189303,9233778,9996167,8889436,9509062,10490621,9655888
282.109507,12,17,5,3,0,0,0,0,CHON,Lignin,283.1167835,0.131250717,1,28440668,36894648,36278424,32182812,34911496,36085056,32346396,34890860,33701740,25852336,32855878,30384694,30751684,23802990,28630072,27113032,26373834,27195054,43305408,38901096,39651424,32057188,30029320,32586126,36758596,32476072,33536912,33481384,37480980,40900208,29745514,31688576,25353300,31857858,30556922,28294732
282.1136167,17,17,3,1,0,0,0,0,CHON,Lignin,283.1208932,-0.175762692,1,0,0,0,0,0,7097663,0,6406245.5,6495077.5,6728102.5,9428796,7725612.5,7812027,8100964.5,7127086.5,13039171,8100547.5,9379497,6946236,0,8271967.5,6174562.5,0,0,6474813.5,0,0,7046815.5,8465932,7681639,0,7190391,6684746.5,7381182,7340789,7296583.5
282.1217288,0,0,0,0,0,0,0,0,,None,283.1290053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275065.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.1346172,14,21,5,1,0,0,0,0,CHON,Protein,283.1418937,0.279464336,1,0,7489449.5,7279754.5,8215055,7273728,7477557,7979265,7074895.5,8069966.5,6576505.5,8683278,8240638,10285968,8302646.5,8651777,13284907,9607844,10821265,11655600,8364377,7674966,8469334,7528949,7381377.5,8895525,7828362,8526707,9333362,8407513,10759737,8457517,7404361.5,6688793,10017957,9036510,8592944
282.1460831,0,0,0,0,0,0,0,0,,None,283.1533596,0,0,8177740,8308643.5,9138308,9212425,9884925,8205615.5,10017013,7925827,9027394,6647137,8188661,7385572.5,6972280,0,6635496,7509534.5,0,6446723.5,10367401,8963411,10170449,9185103,7806444,7886204,9014296,8532860,7419750,8275544.5,10105277,8450593,6958353,6817584.5,7533565.5,6764696,6939344.5,0
282.1711296,15,25,4,1,0,0,0,0,CHON,Lipid,283.1784061,-0.168636687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.2520287,0,0,0,0,0,0,0,0,,None,283.2593052,0,0,0,0,0,0,0,0,0,0,0,0,8580619,0,0,0,0,0,0,0,0,0,14481439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.9327595,0,0,0,0,0,0,0,0,,None,283.940036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7158436.5,0,0,0,0,9477837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.9918346,11,8,7,0,0,1,0,0,CHOS,ConHC,283.999111,-0.13283662,1,11740851,12350925,12117672,0,11498498,0,0,0,0,9819696,0,0,0,0,0,6342241,0,0,0,8952680,0,10747184,0,0,12224568,14081908,14337920,9353984,0,0,0,0,0,0,0,0
